Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
sel3_SRR5819794.trim_1P.fastq.gz	42.183163976876756	41.0	98.6586192130593	9.090909090909092	9455579.0
sel3_SRR5819794.trim_1U.fastq.gz	30.36411777531839	44.0	91.53126009594577	9.090909090909092	1312408.0
sel3_SRR5819794.trim_2P.fastq.gz	33.92584060049738	40.0	95.90467934327448	9.090909090909092	9455579.0
sel3_SRR5819794.trim_2U.fastq.gz	24.633268751729858	42.0	84.53382985683014	0.0	39743.0
sel3_SRR5819795.trim_1P.fastq.gz	51.819889996619004	39.0	96.50620062917294	18.181818181818183	6273315.0
sel3_SRR5819795.trim_1U.fastq.gz	26.16108445521033	38.0	81.39418642567662	9.090909090909092	42934.0
sel3_SRR5819795.trim_2P.fastq.gz	48.230327932230765	38.0	98.39462102572563	0.0	6273315.0
sel3_SRR5819795.trim_2U.fastq.gz	19.279430225772884	39.0	88.57982796035122	0.0	268659.0
sel3_SRR5819796.trim_1P.fastq.gz	62.57621733465148	43.0	86.74407530183449	18.181818181818183	1104993.0
sel3_SRR5819796.trim_1U.fastq.gz	57.61102424689703	41.0	96.7213240598583	18.181818181818183	432488.0
sel3_SRR5819796.trim_2P.fastq.gz	61.66955546025464	42.0	86.23599968506588	9.090909090909092	1104993.0
sel3_SRR5819796.trim_2U.fastq.gz	54.85446826612439	41.0	95.51197516362562	18.181818181818183	443543.0
sel3_SRR5819797.trim_1P.fastq.gz	31.627799262440163	39.0	94.86771947812366	9.090909090909092	2098888.0
sel3_SRR5819797.trim_1U.fastq.gz	24.157913089610304	41.0	90.99993074008442	18.181818181818183	591973.0
sel3_SRR5819797.trim_2P.fastq.gz	33.85538392750345	39.0	95.72616356851819	9.090909090909092	2098888.0
sel3_SRR5819797.trim_2U.fastq.gz	27.56821036366982	39.0	93.9430598661332	9.090909090909092	213944.0
sel3_SRR5819798.trim_1P.fastq.gz	48.50213480043257	43.0	87.8368537529844	9.090909090909092	1478943.0
sel3_SRR5819798.trim_1U.fastq.gz	36.73021457051168	43.0	95.36179015394241	9.090909090909092	568979.0
sel3_SRR5819798.trim_2P.fastq.gz	47.058890519730504	43.0	86.14704420657185	0.0	1478943.0
sel3_SRR5819798.trim_2U.fastq.gz	36.76978221415843	42.0	96.17564084939289	9.090909090909092	516463.0
sel3_SRR5819799.trim_1P.fastq.gz	56.47753879847019	43.0	87.83053999300087	18.181818181818183	1557335.0
sel3_SRR5819799.trim_1U.fastq.gz	43.93462455685623	42.0	95.9083103084325	9.090909090909092	510679.0
sel3_SRR5819799.trim_2P.fastq.gz	51.77959818832878	43.0	86.92711330574346	9.090909090909092	1557335.0
sel3_SRR5819799.trim_2U.fastq.gz	45.03997970722886	42.0	95.32134057554129	9.090909090909092	504082.0
